title(공고명),body text (공고내용),지원대상,소관기관,지원분야(대),지원분야(중),사업수행기관,문의처,신청기간,사업신청방법설명
친환경 히트펌프 및 소재ㆍ부품 중소기업 기술지원사업 수혜기업 모집 공고,"친환경 히트펌프 및 소재/부품 관련 중소기업의 기술수요에 부응하고자 친환경 냉매 전환에 대한 중소기업 공동 R&D 지원을 위하여 ‘친환경 히트펌프 및 소재/부품 중소기업 기술지원사업’을 다음과 같이 공고하오니 본 사업에 참여하고자 하는 기업은 절차에 따라 신청하여 주시기 바랍니다.☞ 건물ㆍ산업용 히트펌프(제품)시스템, 냉매, 요소기기 부품 등을 제조/생산하는 중소, 중견기업 이면서 친환경냉매 적용 등을 통해 친환경 산업전환에 준비하거나 추진 중인 기업☞ 기업 애로기술 해결을 위한 설계, 제조공정 기술지도, 제품기능향상 및 제품 상용화를 위한 기술개발 지원, 실증시험을 통한 제품/시스템의 성능평가 기업당 약 11,000천원 내외 지원",중소기업,과학기술정보통신부,기술,기술사업화/이전/지도,한국생산기술연구원,"한국생산기술연구원 지속가능기술연구소 산업에너지연구부문 (041-589-8333, hkkim@kitech.re.kr)",20250704 ~ 20250716,"이메일 접수(hkkim@kitech.re.kr)
※ 첨부의 양식을 작성 및 날인 후 스캔본(칼라) 이메일 접수"
2025년 2차 블록체인 기반 AI 융합 응용서비스(API) 개발 자금 지원사업 모집 공고,"과학기술정보통신부와 한국인터넷진흥원은 국내 블록체인 기술이 인공지능(AI)과 융합을 통해 디지털 신뢰를 확보하고, 국내ㆍ외 수요기업의 서비스에 활용될 수 있도록 「2025 블록체인 기반 AI 융합 응용서비스(API) 개발 자금 지원사업」에 대한 2차 공모를 추진하오니 많은 참여 바랍니다.☞ 국내 블록체인 기반 AI 융합 서비스 개발 기업☞ 개발 자금 지원, 사업화 컨설팅, 투자 검토 등 50백만원 지원",중소기업,과학기술정보통신부,경영,디자인/상품화/사업화,한국인터넷진흥원,"블록체인확산팀 (061-820-3936, soyeon327@kisa.or.kr)",20250704 ~ 20250724,온라인 접수( KISA 전자계약시스템)
2025년 산학협력 우수기업 선정 계획 공고,"대학과 기업이 함께 성장할 수 있는 산학협력 촉진을 목적으로 2025년 산학협력 우수기업 선정에 관한 사항을 다음과 같이 공고합니다.☞ 적립된 산학협력 마일리지가 1,000점 이상인 기업 중 공고문 내 정량지표 합산 점수가 상위 50위 이내인 기업☞ 우수기업 인센티브 지원(금융 혜택, 가점 등 우대 혜택을 제공하는 정부 사업)- 선정된 우수기업에는 마일리지 차감 없이 여신금리 인하, 정부지원 사업 가점 등 혜택을 제공※ 자세한 지원내용 공고문 참조",중소기업,교육부,경영,디자인/상품화/사업화,대한상공회의소,"교육부 산학협력취창업지원과 (044-203-6263, 6261) / 산학협력 마일리지 사무국 (02-6050-3928)",20250704 ~ 20250714,온라인 접수(산학협력 마일리지 누리집)
[대전] 2025년 영세 소상공인 카드결제 통신비 지원사업 공고,지속되는 경기침체로 어려움을 겪고 있는 영세 소상공인의 고정비용 부담 경감및 경영안정 지원을 위한 「2025년 영세 소상공인 카드결제 통신비 지원사업」계획을 다음과 같이 공고합니다. ☞ 「소상공인기본법」 제2조에 따른 소상공인- 2024. 7. 1 이전 개업하여 소재지가 대전광역시인 업체(사업자등록증 또는 사업자등록증명원상 / 무점포사업자 제외) - 유ㆍ무선 ‘카드결제 단말기‘를 운용중이며 단말기 통신비(유선인터넷요금 포함)를 납부하고 있고 매출액 증빙이 가능한 소상공인- 24년 매출액 1원이상 1.04억원 미만인 업체(부가세 과세표준증명원 기준)☞ 업체당 통신비 최대 11만원(월 최대 1.1만원*×10개월 분 지원) 지원,소상공인,대전광역시,경영,시설/입지지원,대전일자리경제진흥원,카드결제 통신비 운영본부 042-380-3034~3039,20250707 ~ 20250806,온라인 접수
2025년 시험인증산업경쟁력 및 신뢰성제고사업(유망시험서비스개발) 신규지원 대상과제 재공고,2025년 시험인증산업경쟁력및신뢰성제고사업신규 지원대상 연구개발과제를 다음과 같이 공고하오니 수행하고자 하는 자는 신청하여 주시기 바랍니다.☞ 주관연구개발기관 및 공동연구개발기관 : 시험인증 관련 기업ㆍ기관※ 자세한 신청자격 공고문 참조☞ 물리적 AI 적용 물류로봇의 안정성분야 글로벌 시험인증 기반 조성 연구개발비 141백만원 지원※ 자세한 지원내용 공고문 참조,중소기업,산업통상자원부,기술,혼합(단독+공동),한국산업기술기획평가원,한국산업기술기획평가원 엔지니어링ㆍ표준실 053-718-8570 / llajor@keit.re.kr,20250703 ~ 20250715,온라인 접수 (범부처통합연구지원시스템)
[충남] 2025년 소상공인 가업승계(충남이어家) 지원사업 모집 공고,"충청남도와 (재)충남경제진흥원에서는 지역 브랜드 이미지를 제고하여 지역 경제 활성화 촉진하기 위한 2025년 가업승계(충남이어家) 지원 사업 참여 소상공인을 모집하오니 많은 참여 바랍니다.☞ 동일 업종(업태)에서 2대 이상 대를 이어 10년 이상 사업을 운영해오고 있는 충청남도 소상공인 지원에 관한 조례 제2조에 따른 소상공인 ※ 단, 최종승계자의 사업자등록증상 개업일이 2024. 7. 1. 이전이어야 함☞ 경영지원금(최대 7백만원, VAT제외), 인증현판 수여, SNS홍보(청년 서포터즈)제공 등 지원",소상공인,충청남도,경영,디자인/상품화/사업화,충청남도경제진흥원,충남경제진흥원(보부상 콜센터) 041-424-4000,20250703 ~ 20250721,온라인 접수(충남경제진흥원 통합지원시스템)
2025년 2차 환경업종 사업다각화 컨설팅 지원사업 참여기업 모집 공고,"탄소중립에 따른 녹색전환 신시장 진출과 환경업종의 사업다각화를 지원하기 위한 「환경업종 사업다각화 컨설팅 지원사업」을 운영하고 있습니다. 본 지원사업 참여를 희망하는 기업은 아래 내용을 참고하여 신청하여 주시기 바랍니다.☞ 탄소중립 산업구조 개편에 영향을 받는 업종을 영위하는 중소ㆍ중견 환경산업체☞ 사업전환ㆍ사업다각화ㆍ경영 컨설팅 제공, 정부 지원사업 매칭 지원※ 자세한 지원내용 공고문 참조",중소기업,환경부,경영,컨설팅,한국환경산업기술원,한국환경산업기술원 기업육성실 지원사업 담당자 032-540-2212 / im.jh@keiti.re.kr,20250704 ~ 20250718,"이메일 접수 (im.jh@keiti.re.kr)
※ 서류 평가 이후 선정 시 추가서류(중소ㆍ중견기업 확인서, 납세증명서 등) 제출 안내 예정"
2025년 2차 대규모 융합 로봇 실증사업 지원과제 모집 공고,"로봇 서비스가 필요한 수요거점 내 대규모(다종ㆍ다수) 로봇 서비스 융합실증으로 사회적 문제해결 및 국민의 편의 증진을 위한「대규모 융합 로봇 실증사업」지원과제를 다음과 같이 모집하오니 참여를 희망하는 기관 및 기업 등은 절차에 따라 신청하여 주시기 바랍니다.☞ 수요거점, SI 기업, 로봇기업, 기관 간 컨소시엄- 2단계 종료 시까지 다종ㆍ다수 로봇 융합실증 및 통합관제시스템 구축 등 사업 목표 달성이 가능한 제품 및 서비스☞ 개별로봇 실증 및 로봇 활용 인프라 구축 비용(1단계), 다종로봇 융합실증 비용 및 로봇 활용 인프라 고도화 비용 지원(2단계)- 1단계 과제당 최대 4.5억원 / 2단계 과제당 최대 5억원",중소기업,산업통상자원부,기술,기술사업화/이전/지도,한국로봇산업진흥원,한국로봇산업진흥원 로봇기반디지털본부 서비스로봇실증팀 053-210-9682 hwju@kiria.org / 산업혁신실 기획예산팀 053-210-9917 smcho@kiria.org / 호원소프트 고객센터 070-4047-7287,20250728 ~ 20250731,온라인 접수 (한국로봇산업진흥원 사업관리시스템)
2025년 3분기 자랑스러운 중소기업인 신청 공고,"중소기업중앙회는 중소기업 및 국가산업 발전에 기여한 중소기업인의 공적을 기리고, 모범적인 중소기업인 상을 확산하기 위해 ’94년부터 중소벤처기업부와 공동으로 「자랑스러운중소기업인」을 선정하고 있습니다. 이와 관련하여 동 포상 신청에 대해 다음과 같이 안내드리오니 중소기업인의 많은 관심과 신청을 바랍니다. ☞ 5년 이상 중소기업을 경영한 대표자☞ 중소벤처기업부장관 표창장, 중소기업중앙회 기념패, 언론 보도자료 배포 등 지원",중소기업,중소벤처기업부,내수,오프라인,중소기업중앙회,중소기업중앙회 기업성장실 02-2124-3148,20250707 ~ 20250808,"온라인 및 원본 서류 우편 접수
- 온라인 : 중소기업중앙회 홈페이지
- 접수처 :  (07242) 서울특별시 영등포구 은행로30(여의도동 16-2) 중소기업중앙회 본관 3층 기업성장실
※ 반드시 우편 및 온라인 모두 제출하셔야 접수가 완료됩니다"
[경기] 성남시 음식점 위생등급 신규지정 지원사업 참여업소 모집 재공고,"음식점 위생등급제 확산 및 외식업소의 위생수준 향상을 위해 음식점 위생등급 평가기준에 따른 컨설팅 및 청소를 지원하는「음식점 위생등급 신규지정 지원사업」참여 업소를 아래와 같이 모집하오니 많은 신청 바랍니다.☞ 음식점 위생등급제 신규지정을 희망하는 성남시 소재 일반음식점, 휴게음식점, 제과점- 연내 위생등급 지정평가 신청에 동의하며, 평가를 중도에 포기하지 않을 업소☞ 위생등급 지정을 위한 전문업체의 위생등급 컨설팅 및 청소 원스톱 지원- 위생등급제 평가준비를 위한 일대일 방문 컨설팅, 주방시설(후드, 닥트, 환풍기 등), 객실의 바닥 및 벽 등 업소 내부청소- 주방시설(후드, 닥트, 환풍기 등), 객실의 바닥 및 벽 등 업소 내부청소- 위생등급제 지정 완료시 인센티브 지원",소상공인,경기도,경영,시설/입지지원,기초자치단체,성남시청 위생정책과 031-729-3103,20250707 ~ 20250725,"방문 또는 이메일 접수
- 접수처 : 성남시청 동관 5층 위생정책과 식품정책팀
- 이메일 : dfeunjin@korea.kr(수신여부 확인 031-729-3103)"
